symbol,series,stock_date,previous_close,open_price,high_price,low_price,last_traded_price,close_price,avg_price,total_trade_qty,turnover_in_lacs,no_of_trades,delivered_qty,delivered_percentage,52_week_high,52_week_high_date,52_week_low,52_week_low_date
M&M,EQ,2024-10-04,3129.85,3127.05,3157.6,3009.5,3019.0,3017.45,3071.8,4281562,131521.21,245327, 1731447,40.44,3222.1,2024-09-27,1450.0,2023-11-01
M&MFIN,EQ,2024-10-04,322.25,316.0,316.75,299.0,301.1,300.45,305.94,11656581,35661.8,97593, 2445955,20.98,343.0,2024-09-27,237.35,2023-10-30
MAANALU,EQ,2024-10-04,177.08,183.7,185.8,170.7,173.5,174.75,180.89,1175863,2127.02,13010, 287374,24.44,195.0,2024-10-01,85.3,2023-10-10
MADHAV,EQ,2024-10-04,53.42,52.38,54.25,52.38,53.47,53.17,53.64,3377,1.81,134, 1355,40.12,91.75,2024-01-09,37.0,2024-03-13
MADRASFERT,EQ,2024-10-04,101.41,100.5,103.0,99.44,101.65,101.09,101.22,217144,219.79,3353, 75513,34.78,134.0,2024-07-12,72.25,2023-10-26
MAFANG,EQ,2024-10-04,93.56,94.49,94.55,93.59,93.81,94.06,94.2,350394,330.06,5140, 213095,60.82,102.75,2024-07-09,59.0,2023-10-27
MAGADSUGAR,EQ,2024-10-04,921.9,926.5,926.9,860.0,869.0,869.95,891.14,73430,654.36,3850, 33695,45.89,1010.0,2024-09-27,522.0,2024-03-20
MAGNUM,EQ,2024-10-04,44.84,45.5,46.5,45.01,45.02,45.07,45.46,227447,103.41,1096, 203516,89.48,77.71,2024-01-23,35.95,2023-10-10
MAHABANK,EQ,2024-10-04,58.45,58.21,58.85,57.41,57.7,57.65,58.1,10744051,6242.25,41174, 3791806,35.29,73.5,2024-06-03,38.65,2023-10-26
MAHEPC,EQ,2024-10-04,126.94,126.95,129.9,125.29,128.02,127.75,128.97,38985,50.28,672, 26488,67.94,179.65,2024-06-14,108.05,2023-10-30
MAHESHWARI,EQ,2024-10-04,65.34,66.1,66.25,63.86,64.15,64.21,64.69,30752,19.89,557, 18913,61.5,102.45,2023-11-02,59.15,2024-06-05
MAHKTECH,EQ,2024-10-04,20.48,21.0,24.0,20.6,20.79,21.68,22.53,18904091,4258.65,28692, 9583161,50.69,20.54,2024-10-03,11.65,2024-02-01
MAHLIFE,EQ,2024-10-04,524.45,525.65,531.95,516.4,520.0,519.7,522.06,201420,1051.53,9926, 119627,59.39,678.8,2024-04-25,475.0,2023-11-01
MAHLOG,EQ,2024-10-04,483.85,483.85,494.0,478.0,492.15,488.55,487.16,117976,574.74,8851, 42257,35.82,554.7,2024-07-02,348.05,2023-10-31
